[17:04:44] [INFO] [StartLoader:Backend] sendProgress(41, 'UPDATING_DATABASE')
[17:04:44] [INFO] [StartLoader:Backend] sendProgress(42, 'UPDATING_DATABASE')
[17:04:44] [INFO] [StartLoader:Backend] sendProgress(42, 'UPDATING_DATABASE')
[17:04:44] [INFO] [StartLoader:Backend] sendProgress(42, 'UPDATING_DATABASE')
[17:04:44] [INFO] [StartLoader:Backend] sendProgress(42, 'UPDATING_DATABASE')
[17:04:44] [INFO] [StartLoader:Backend] sendProgress(42, 'UPDATING_DATABASE')
[17:04:44] [INFO] [StartLoader:Backend] sendProgress(42, 'UPDATING_DATABASE')
[17:04:44] [INFO] [StartLoader:Backend] sendProgress(42, 'UPDATING_DATABASE')
[17:04:44] [INFO] [StartLoader:Backend] sendProgress(42, 'UPDATING_DATABASE')
[17:04:44] [INFO] [StartLoader:Backend] sendProgress(43, 'UPDATING_DATABASE')
[17:04:44] [INFO] [StartLoader:Backend] sendProgress(43, 'UPDATING_DATABASE')
[17:04:44] [INFO] [StartLoader:Backend] sendProgress(43, 'UPDATING_DATABASE')
[17:04:44] [INFO] [StartLoader:Backend] sendProgress(43, 'UPDATING_DATABASE')
[17:04:44] [INFO] [StartLoader:Backend] sendProgress(43, 'UPDATING_DATABASE')
[17:04:44] [INFO] [StartLoader:Backend] sendProgress(43, 'UPDATING_DATABASE')
[17:04:44] [INFO] [StartLoader:Backend] sendProgress(43, 'UPDATING_DATABASE')
[17:04:44] [INFO] [StartLoader:Backend] sendProgress(44, 'UPDATING_DATABASE')
[17:04:44] [INFO] [StartLoader:Backend] sendProgress(44, 'UPDATING_DATABASE')
[17:04:44] [INFO] [StartLoader:Backend] sendProgress(44, 'UPDATING_DATABASE')
[17:04:44] [INFO] [StartLoader:Backend] sendProgress(44, 'UPDATING_DATABASE')
[17:04:44] [INFO] [StartLoader:Backend] sendProgress(44, 'UPDATING_DATABASE')
